brand_name,article_name,gender,fitting_type,label_size,standard_size,chest_size,shoulder_width,front_length,waist,neck,sleeve_length,unit
Generic,shirt,Male,Slim Fit,SMALL,SMALL,36,16,,36,,7.5,inches
Generic,shirt,Male,Slim Fit,MEDIUM,MEDIUM,38,16.5,,38,,8,inches
Generic,shirt,Male,Slim Fit,LARGE,LARGE,40,17,,40,,8.5,inches
Generic,shirt,Male,Slim Fit,X-LARGE,X-LARGE,42,17.5,,42,,9,inches
Generic,shirt,Male,Slim Fit,XX-LARGE,XX-LARGE,44,18,,44,,9.5,inches
Maniac,shirt,Male,Slim Fit,S,S,38,17.0,,38,,,inches
Maniac,shirt,Male,Slim Fit,M,M,40,18.0,,40,,,inches
Maniac,shirt,Male,Slim Fit,L,L,42,19.0,,42,,,inches
Maniac,shirt,Male,Slim Fit,XL,XL,44,20.0,,44,,,inches
Maniac,shirt,Male,Slim Fit,2XL,2XL,46,21.0,,46,,,inches
